Speed,Power,Drag,Lift
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.01
3,0.01,0.01,0.03
4,0.02,0.02,0.05
5,0.05,0.02,0.08
6,0.08,0.04,0.11
7,0.13,0.05,0.15
8,0.2,0.06,0.19
9,0.28,0.08,0.24
10,0.39,0.1,0.3
11,0.51,0.12,0.36
12,0.67,0.14,0.43
13,0.85,0.17,0.51
14,1.06,0.19,0.59
15,1.3,0.22,0.68
16,1.58,0.25,0.77
17,1.9,0.29,0.87
18,2.25,0.32,0.97
19,2.65,0.36,1.09
20,3.09,0.4,1.2
21,3.57,0.44,1.33
22,4.11,0.48,1.45
23,4.7,0.53,1.59
24,5.34,0.57,1.73
25,6.03,0.62,1.88
26,6.78,0.67,2.03
27,7.6,0.72,2.19
28,8.47,0.78,2.36
29,9.41,0.83,2.53
30,10.42,0.89,2.71
31,11.5,0.95,2.89
32,12.65,1.02,3.08
33,13.87,1.08,3.27
34,15.17,1.15,3.48
35,16.55,1.22,3.68
36,18.01,1.29,3.9
37,19.55,1.36,4.12
38,21.18,1.43,4.34
39,22.89,1.51,4.57
40,24.7,1.59,4.81
41,26.6,1.67,5.05
42,28.6,1.75,5.3
43,30.69,1.84,5.56
44,32.88,1.92,5.82
45,35.17,2.01,6.09
46,37.57,2.1,6.36
47,40.07,2.19,6.64
48,42.68,2.29,6.93
49,45.41,2.38,7.22
50,48.25,2.48,7.52
51,51.2,2.58,7.82
52,54.27,2.68,8.13
53,57.46,2.79,8.44
54,60.78,2.89,8.77
55,64.21,3.0,9.09
56,67.78,3.11,9.43
57,71.48,3.22,9.77
58,75.31,3.34,10.11
59,79.27,3.45,10.46
60,83.37,3.57,10.82
61,87.61,3.69,11.19
62,91.99,3.82,11.56
63,96.51,3.94,11.93
64,101.18,4.07,12.31
65,106.0,4.19,12.7
66,110.96,4.32,13.09
67,116.08,4.46,13.49
68,121.36,4.59,13.9
69,126.79,4.73,14.31
70,132.39,4.86,14.73
71,138.14,5.0,15.15
72,144.06,5.15,15.58
73,150.15,5.29,16.02
74,156.4,5.43,16.46
75,162.83,5.58,16.91
76,169.43,5.73,17.36
77,176.2,5.88,17.82
78,183.16,6.04,18.29
79,190.29,6.19,18.76
80,197.61,6.35,19.24
81,205.12,6.51,19.72
82,212.81,6.67,20.21
83,220.69,6.84,20.71
84,228.76,7.0,21.21
85,237.03,7.17,21.72
86,245.49,7.34,22.23
87,254.16,7.51,22.75
88,263.02,7.69,23.28
89,272.09,7.86,23.81
90,281.37,8.04,24.35
91,290.85,8.22,24.89
92,300.54,8.4,25.44
93,310.45,8.58,26.0
94,320.57,8.77,26.56
95,330.92,8.96,27.13
96,341.48,9.15,27.71
97,352.26,9.34,28.29
98,363.27,9.53,28.87
99,374.5,9.73,29.46
100,385.96,9.92,30.06
101,397.66,10.12,30.67
102,409.59,10.33,31.28
103,421.75,10.53,31.89
104,434.16,10.73,32.51
105,446.8,10.94,33.14
106,459.69,11.15,33.78
107,472.82,11.36,34.42
108,486.2,11.58,35.06
109,499.83,11.79,35.72
110,513.72,12.01,36.37
111,527.86,12.23,37.04
112,542.25,12.45,37.71
113,556.91,12.67,38.39
114,571.82,12.9,39.07
115,587.0,13.13,39.76
116,602.45,13.35,40.45
117,618.16,13.59,41.15
118,634.15,13.82,41.86
119,650.41,14.05,42.57
120,666.94,14.29,43.29
121,683.76,14.53,44.01
122,700.85,14.77,44.74
123,718.23,15.02,45.48
124,735.89,15.26,46.22
125,753.83,15.51,46.97
126,772.07,15.76,47.73
127,790.6,16.01,48.49
128,809.42,16.26,49.25
129,828.54,16.52,50.03
130,847.96,16.77,50.8
131,867.68,17.03,51.59
132,887.7,17.29,52.38
133,908.03,17.56,53.18
134,928.67,17.82,53.98
135,949.61,18.09,54.79
136,970.87,18.36,55.6
137,992.45,18.63,56.42
138,1014.34,18.9,57.25
139,1036.55,19.18,58.08
140,1059.08,19.45,58.92
141,1081.94,19.73,59.77
142,1105.12,20.01,60.62
143,1128.64,20.3,61.47
144,1152.48,20.58,62.34
145,1176.66,20.87,63.21
146,1201.17,21.16,64.08
147,1226.02,21.45,64.96
148,1251.21,21.74,65.85
149,1276.75,22.03,66.74
150,1302.63,22.33,67.64
